ID,Name,latitude,longitude
281,UNIQUE MONEY CHANGER,1.324635732,103.9310688
282,VALUE EXCHANGE,1.302064514,103.836341
283,VICTORIA GLORY PTE LTD,1.297294355,103.8526084
284,VIVA GIFT SHOP,1.334025295,103.742586
285,WAHAB TEXTILES,1.301844348,103.8592463
286,WANG MONEY CHANGER,1.371588404,103.8933506
287,YAKADIR PTE LTD,1.301191315,103.9051136
288,YES BEE TRADERS,1.301775397,103.8584972
289,YORK HOTEL (PTE) LIMITED,1.306925397,103.8351875
290,YTC HOTELS LTD,1.291847229,103.8501651
291,YUNOS MONEY CHANGER & TRADING,1.307246753,103.8336649
292,DEEN EXCHANGE,1.301385105,103.8376844
293,A.R. MONEY EXCHANGE,1.350239427,103.8484776
294,AWIN TRADING,1.325468084,103.7252215
295,MAYURA MONEY CHANGER,1.333110123,103.8474318
296,KCR AUTHORISED MONEY CHANGERS,1.37360868,103.9497509
297,Ophir-Rochor Hotel Pte Ltd tdg as Andaz Singapore,1.299162965,103.8578595
298,R & R Money Exchange Pte Ltd,1.353453156,103.9530099
299,Express Money Exchange,1.427999957,103.836142
300,Prince Xchange Pte Ltd,1.325926759,103.9308081
301,Dollar Money Changer Pte Ltd,1.318838156,103.8628158
302,Signoraa Money Exchange,1.304843445,103.8238528
303,RABI TRADING,1.304485801,103.8339419
304,RAHIMAN TRADING,1.304485801,103.8339419
305,RIYAZ EXCHANGE TRADING,1.380542441,103.763994
306,SIRADJ EXCHANGE,1.310415674,103.8545504
307,SOUTH BEACH CONSORTIUM PTE LTD,1.294652912,103.8555161
308,BORNEO PROPERTIES SDN BHD TRADING AS GRAND HYATT SINGAPORE,1.30634534,103.8332833
309,MAAS EXCHANGE,1.304485801,103.8339419
310,METRO REMITTANCE SINGAPORE PTE. LTD.,1.304485801,103.8339419
311,SIA EXCHANGE,1.302751218,103.8651636
312,KOKILA TRADING & MONEY CHANGER,1.324607053,103.9318192
313,HSK RESOURCES PTE. LTD.,1.314756585,103.8721812
314,Y & C TRADING & MONEY CHANGER PTE LTD,1.427899344,103.8379085
315,RAHIM MONEY CHANGER,1.333640608,103.7416012
316,COASTWAY MONEY CHANGER,1.377600588,103.7724897
317,RADS EXCHANGE PTE LTD,1.304485801,103.8339419
318,NEW STAR EXCHANGE PTE LTD,1.396194321,103.7535461
319,GP MONEY CHANGER & REMITTANCE PTE LTD,1.312482993,103.7654768
320,ALL BEST ENTERPRISE PTE LTD,1.346348193,103.7124293
321,THAY HOA FOREIGN EXCHANGE PTE LTD,1.358819114,103.8849884
322,ECL MONEY CHANGER PTE LTD,1.431505269,103.7735157
323,NANAYAM FOREIGN EXCHANGE PTE. LTD.,1.397781392,103.7469741
324,RESORTS WORLD AT SENTOSA PTE LTD,1.257671131,103.8168967
325,RESORTS WORLD AT SENTOSA PTE LTD,1.259237732,103.8165479
326,RESORTS WORLD AT SENTOSA PTE LTD,1.254933442,103.8202194
327,MARINA BAY SANDS PTE. LTD.,1.282583371,103.8602202
328,OVERSEAS UNION ENTERPRISE LIMITED,1.302064514,103.836341
329,SHAMIHA MONEY CHANGER,1.301257296,103.8411502
330,TAISEI MONEY-CHANGER PTE LTD,1.291514786,103.8445863
331,TAMERTON PTE LTD,1.331561639,103.7392596
332,AL AMEEN EXCHANGE,1.288614691,103.80501
333,AZEEZ MONEY CHANGERS,1.304485801,103.8339419
334,BABA EXCHANGE,1.304485801,103.8339419
335,BATIK EXCHANGE PTE LTD,1.302552567,103.8581485
336,CHANDRA COSMETICS PTE LTD,1.304485801,103.8339419
337,CURRENCY EXCHANGE,1.369775264,103.8473214
338,EUROPE FANCY STORE,1.304485801,103.8339419
339,EVEREST GENERAL STORE,1.304485801,103.8339419
340,FAJAR STORE,1.304485801,103.8339419
341,JAMAL EXCHANGE,1.324607053,103.9318192
342,WELCOME (ENGLOK) PROVISION STORE,1.443282035,103.7772942
343,SIMLIM EXCHANGE & TRADING,1.303022995,103.8528756
344,GREEN CITY MINIMART,1.292220759,103.8506126
345,19 EXCHANGE MONEY CHANGER & TRADING,1.299067991,103.855328
